2024-06-29T10:05:29.7133966+07:00	INFO	[Microsoft.Hosting.Lifetime]	[ListeningOnAddress]	Now listening on: http://localhost:5201
2024-06-29T10:05:29.7173557+07:00	INFO	[Microsoft.Hosting.Lifetime]	[0]	Application started. Press Ctrl+C to shut down.
2024-06-29T10:05:29.7174309+07:00	INFO	[Microsoft.Hosting.Lifetime]	[0]	Hosting environment: Development
2024-06-29T10:05:29.7174513+07:00	INFO	[Microsoft.Hosting.Lifetime]	[0]	Content root path: D:\Projects\ONE\ONE-WEB\
2024-06-29T10:05:53.5681847+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	CallUser targetConnectionId: {"Username":null,"ConnectionId":"fcHwgMRekC63SpaSUwb0tg","InCall":false,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:57.8873509+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	AnswerCall targetConnectionId: {"Username":"sunt","ConnectionId":"M3NYySy9IQz1S3mYjTyM6A","InCall":false,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:57.9231477+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetConnectionId: fcHwgMRekC63SpaSUwb0tg
2024-06-29T10:05:57.9240103+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetUser: {"Username":"admin","ConnectionId":"fcHwgMRekC63SpaSUwb0tg","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:57.9281489+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal callingUser: {"Username":"sunt","ConnectionId":"M3NYySy9IQz1S3mYjTyM6A","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:57.9284908+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetConnectionId: fcHwgMRekC63SpaSUwb0tg
2024-06-29T10:05:57.9285621+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetUser: {"Username":"admin","ConnectionId":"fcHwgMRekC63SpaSUwb0tg","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:57.9287294+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal callingUser: {"Username":"sunt","ConnectionId":"M3NYySy9IQz1S3mYjTyM6A","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:57.9289202+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetConnectionId: fcHwgMRekC63SpaSUwb0tg
2024-06-29T10:05:57.9289515+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetUser: {"Username":"admin","ConnectionId":"fcHwgMRekC63SpaSUwb0tg","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:57.9291409+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal callingUser: {"Username":"sunt","ConnectionId":"M3NYySy9IQz1S3mYjTyM6A","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:57.9293040+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetConnectionId: fcHwgMRekC63SpaSUwb0tg
2024-06-29T10:05:57.9293460+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetUser: {"Username":"admin","ConnectionId":"fcHwgMRekC63SpaSUwb0tg","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:57.9295323+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal callingUser: {"Username":"sunt","ConnectionId":"M3NYySy9IQz1S3mYjTyM6A","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:57.9297936+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetConnectionId: fcHwgMRekC63SpaSUwb0tg
2024-06-29T10:05:57.9298446+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetUser: {"Username":"admin","ConnectionId":"fcHwgMRekC63SpaSUwb0tg","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:57.9300123+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal callingUser: {"Username":"sunt","ConnectionId":"M3NYySy9IQz1S3mYjTyM6A","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:57.9300969+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetConnectionId: fcHwgMRekC63SpaSUwb0tg
2024-06-29T10:05:57.9301359+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetUser: {"Username":"admin","ConnectionId":"fcHwgMRekC63SpaSUwb0tg","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:57.9302066+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal callingUser: {"Username":"sunt","ConnectionId":"M3NYySy9IQz1S3mYjTyM6A","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:57.9687685+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetConnectionId: fcHwgMRekC63SpaSUwb0tg
2024-06-29T10:05:57.9689006+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetUser: {"Username":"admin","ConnectionId":"fcHwgMRekC63SpaSUwb0tg","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:57.9690277+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal callingUser: {"Username":"sunt","ConnectionId":"M3NYySy9IQz1S3mYjTyM6A","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:57.9691257+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetConnectionId: fcHwgMRekC63SpaSUwb0tg
